ID,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
1,6,2.2,5,1.5,virginica
2,6.1,2.8,4.7,1.2,versicolor
3,5,3.5,1.3,0.3,setosa
4,6.1,2.6,5.6,1.4,virginica
5,5,3.2,1.2,0.2,setosa
6,5.4,3.4,1.5,0.4,setosa
7,5,3.3,1.4,0.2,setosa
8,6.3,3.4,5.6,2.4,virginica
9,7.2,3.2,6,1.8,virginica
10,4.6,3.4,1.4,0.3,setosa
11,5,3,1.6,0.2,setosa
12,5.3,3.7,1.5,0.2,setosa
13,6.5,3,5.5,1.8,virginica
14,6.2,2.2,4.5,1.5,versicolor
15,6,3,4.8,1.8,virginica
16,5.5,2.6,4.4,1.2,versicolor
17,6.1,3,4.6,1.4,versicolor
18,6.7,3.3,5.7,2.5,virginica
19,7.4,2.8,6.1,1.9,virginica
20,4.8,3.4,1.9,0.2,setosa
21,5.5,2.4,3.7,1,versicolor
22,6.8,3.2,5.9,2.3,virginica
23,6.9,3.2,5.7,2.3,virginica
24,4.6,3.1,1.5,0.2,setosa
25,6.5,3,5.8,2.2,virginica
26,5.4,3.4,1.7,0.2,setosa
27,5.6,2.5,3.9,1.1,versicolor
28,6.4,3.1,5.5,1.8,virginica
29,5.9,3,5.1,1.8,virginica
30,6.3,2.7,4.9,1.8,virginica
31,6.1,3,4.9,1.8,virginica
32,4.9,3,1.4,0.2,setosa
33,6.2,2.8,4.8,1.8,virginica
34,6.4,2.9,4.3,1.3,versicolor
35,6,2.2,4,1,versicolor
36,6,2.7,5.1,1.6,versicolor
37,5.6,2.9,3.6,1.3,versicolor
38,6.3,2.5,5,1.9,virginica
39,4.4,3,1.3,0.2,setosa
40,5,3.4,1.5,0.2,setosa
41,5.2,2.7,3.9,1.4,versicolor
42,6.1,2.8,4,1.3,versicolor
43,6.3,3.3,4.7,1.6,versicolor
44,5.6,2.8,4.9,2,virginica
45,6.5,3.2,5.1,2,virginica
46,5.5,2.3,4,1.3,versicolor
47,5,3.5,1.6,0.6,setosa
48,5.2,4.1,1.5,0.1,setosa
49,4.9,2.4,3.3,1,versicolor
50,7.7,2.8,6.7,2,virginica
51,6.4,2.7,5.3,1.9,virginica
52,7,3.2,4.7,1.4,versicolor
53,5.8,2.7,5.1,1.9,virginica
54,5,2,3.5,1,versicolor
55,5.1,3.5,1.4,0.2,setosa
56,4.3,3,1.1,0.1,setosa
57,5.8,2.7,5.1,1.9,virginica
58,7.7,3.8,6.7,2.2,virginica
59,5.9,3.2,4.8,1.8,versicolor
60,5.5,2.5,4,1.3,versicolor
61,5.1,3.8,1.6,0.2,setosa
62,6.4,3.2,4.5,1.5,versicolor
63,4.8,3.4,1.6,0.2,setosa
64,5.1,3.8,1.9,0.4,setosa
65,4.8,3,1.4,0.3,setosa
66,6,3.4,4.5,1.6,versicolor
67,6,2.9,4.5,1.5,versicolor
68,5.8,2.7,4.1,1,versicolor
69,6.3,2.3,4.4,1.3,versicolor
70,6.9,3.1,4.9,1.5,versicolor
71,7.9,3.8,6.4,2,virginica
72,4.9,2.5,4.5,1.7,virginica
73,5.8,2.8,5.1,2.4,virginica
74,6.1,2.9,4.7,1.4,versicolor
75,4.6,3.2,1.4,0.2,setosa
76,6.7,3.1,4.4,1.4,versicolor
77,5,3.4,1.6,0.4,setosa
78,6.3,2.9,5.6,1.8,virginica
79,5.7,3,4.2,1.2,versicolor
80,5.4,3.9,1.3,0.4,setosa
81,6.7,2.5,5.8,1.8,virginica
82,6.8,3,5.5,2.1,virginica
83,7.3,2.9,6.3,1.8,virginica
84,5.6,2.7,4.2,1.3,versicolor
85,7.7,2.6,6.9,2.3,virginica
86,6.3,2.5,4.9,1.5,versicolor
87,5.8,2.6,4,1.2,versicolor
88,6.7,3.3,5.7,2.1,virginica
89,5.7,3.8,1.7,0.3,setosa
90,5.5,3.5,1.3,0.2,setosa
91,5.4,3,4.5,1.5,versicolor
92,5.8,4,1.2,0.2,setosa
93,5.7,2.6,3.5,1,versicolor
94,5.9,3,4.2,1.5,versicolor
95,5.7,2.8,4.5,1.3,versicolor
96,5.1,2.5,3,1.1,versicolor
97,5.1,3.4,1.5,0.2,setosa
98,6.4,2.8,5.6,2.1,virginica
99,6.7,3.1,5.6,2.4,virginica
100,7.2,3.6,6.1,2.5,virginica
101,5.1,3.8,1.5,0.3,setosa
102,5.4,3.7,1.5,0.2,setosa
103,6.6,3,4.4,1.4,versicolor
104,5.5,2.4,3.8,1.1,versicolor
105,6.4,3.2,5.3,2.3,virginica
